epoch,train_loss,train_acc,val_loss,val_acc,lr,best_epoch,best_val_loss
1,0.6320006159503938,0.7471264367816092,0.19000676963940138,0.9504132231404959,0.001,70,6.994178037838394e-05
2,0.25182747851421516,0.9160035366931919,0.10215643140649007,0.9504132231404959,0.001,70,6.994178037838394e-05
3,0.10686630739852668,0.9752431476569408,0.18719981607696243,0.9338842975206612,0.001,70,6.994178037838394e-05
4,0.06914892502847127,0.9814323607427056,0.0325941536498587,0.9917355371900827,0.001,70,6.994178037838394e-05
5,0.07077506811717882,0.982316534040672,0.17302437839872772,0.9338842975206612,0.001,70,6.994178037838394e-05
6,0.13138280127767332,0.9557913351016799,0.3949432874806533,0.8636363636363636,0.001,70,6.994178037838394e-05
7,0.05899118823777459,0.9858532272325375,0.019369326231708704,0.9958677685950413,0.001,70,6.994178037838394e-05
8,0.07500844423113198,0.9814323607427056,0.019602417614895944,1.0,0.001,70,6.994178037838394e-05
9,0.033380462759224634,0.9920424403183024,0.05968935497324964,0.9752066115702479,0.001,70,6.994178037838394e-05
10,0.04246383381037455,0.9876215738284704,0.003071453743652741,1.0,0.001,70,6.994178037838394e-05
11,0.042164609020626936,0.9902740937223696,0.009172491397331508,1.0,0.001,70,6.994178037838394e-05
12,0.019885787125849794,0.9946949602122016,0.015140953920165862,0.9917355371900827,0.001,70,6.994178037838394e-05
13,0.007671259719117566,0.9982316534040672,0.000605103907113787,1.0,0.001,70,6.994178037838394e-05
14,0.020362202232912723,0.9964633068081344,0.02872123596429717,0.9958677685950413,0.001,70,6.994178037838394e-05
15,0.06725247383815962,0.9770114942528736,0.14969772173905715,0.9545454545454546,0.001,70,6.994178037838394e-05
16,0.030556147659541653,0.9946949602122016,0.0020068143398216196,1.0,0.001,70,6.994178037838394e-05
17,0.03826468440627467,0.9885057471264368,0.021228573022387183,0.9917355371900827,0.0005,70,6.994178037838394e-05
18,0.016534638407481234,0.995579133510168,0.0011873323911000505,1.0,0.0005,70,6.994178037838394e-05
19,0.010689856186443256,0.9964633068081344,0.0008220356409938251,1.0,0.0005,70,6.994178037838394e-05
20,0.0053198796661552555,0.9991158267020336,0.0005768312094155853,1.0,0.0005,70,6.994178037838394e-05
21,0.006684714697188575,0.9982316534040672,0.00045676491740890895,1.0,0.0005,70,6.994178037838394e-05
22,0.003970403813666011,1.0,0.00048147456687759637,1.0,0.0005,70,6.994178037838394e-05
23,0.006274921419782437,0.9982316534040672,0.000502015961418775,1.0,0.0005,70,6.994178037838394e-05
24,0.0054670633257397185,1.0,0.0004655949808445505,1.0,0.0005,70,6.994178037838394e-05
25,0.02518464280185343,0.9938107869142352,0.014465195355813735,0.9958677685950413,0.00025,70,6.994178037838394e-05
26,0.025587032326957446,0.9893899204244032,0.0025877500191515634,1.0,0.00025,70,6.994178037838394e-05
27,0.008746735521918337,0.9973474801061007,0.000852667959888027,1.0,0.00025,70,6.994178037838394e-05
28,0.008540039391287337,0.9991158267020336,0.0007504887416119849,1.0,0.00025,70,6.994178037838394e-05
29,0.004543566957542674,0.9991158267020336,0.000346927908403137,1.0,0.00025,70,6.994178037838394e-05
30,0.0045461483239465925,0.9991158267020336,0.000583423502899106,1.0,0.00025,70,6.994178037838394e-05
