source,architecture,test_accuracy,macro_f1,fine_tuning_strategy,notes
This project,ResNet50,99.58333333333333,0.9956043115969728,full network,
This project,DenseNet121,98.75,0.9883720930232558,full network,
This project,CitrusNet,96.66666666666669,0.9663747712629092,from-scratch,
This project,EfficientNetB0,92.91666666666669,0.9324848460438608,full network,
Study A [3],DenseNet121,99.12,0.986,partial-20-layers,"759 img, 9-class dataset (fruit + leaf)"
Study A [3],InceptionV3,99.12,0.986,partial-20-layers,"759 img, 9-class dataset (fruit + leaf)"
Study A [3],ResNet50,84.58,0.649,partial-20-layers,"759 img, 9-class dataset (fruit + leaf)"
Study A [3],EfficientNetB0,80.18,0.445,partial-20-layers,"759 img, 9-class dataset (fruit + leaf)"
Study B [4],AgriVision-L5,92.59,0.9744,from-scratch,"~180 field img, 4-class (different taxonomy)"
Study B [4],InceptionV3,92.59,,frozen-entirely,"~180 field img, 4-class (different taxonomy)"
Study B [4],MobileNetV2,92.59,,frozen-entirely,"~180 field img, 4-class (different taxonomy)"
