filepath,class_label,width,height,filesize_bytes,format,phash,group_id,duplicate_type,split
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_001.jpg,aphids,4284,5712,1369832,JPEG,9996f6b9acd28d80,0,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_002.jpg,aphids,3024,4032,1235446,JPEG,99b3f6b8ad528c84,1,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_003.jpg,aphids,3024,4032,1234044,JPEG,99b5f6b1ad428ca4,2,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_004.jpg,aphids,3024,4032,1263473,JPEG,99b7f6f18c408d85,3,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_005.jpg,aphids,3024,4032,1281310,JPEG,9cb5f2f58c4a8ca4,4,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_006.jpg,aphids,3024,4032,1158799,JPEG,9cb5f2fd8c4a8c21,4,near,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_007.jpg,aphids,3024,4032,1228939,JPEG,99b7f6e90c488d25,5,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_008.jpg,aphids,3024,4032,1237838,JPEG,99b7f4e9885889a5,6,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_009.jpg,aphids,3024,4032,1287144,JPEG,99b6f6fc8c448e84,7,none,val
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_010.jpg,aphids,3024,4032,1353787,JPEG,9ab5d2b89747c684,8,none,test
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_011.jpg,aphids,3024,4032,1298228,JPEG,999dd3bc97438660,9,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_012.jpg,aphids,3024,4032,1337484,JPEG,9b8df5bc93438360,10,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_013.jpg,aphids,3024,4032,1297427,JPEG,9985f4be83c3c782,11,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_014.jpg,aphids,3024,4032,1200659,JPEG,998a7cbda713c382,12,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_015.jpg,aphids,3024,4032,1135994,JPEG,9993f6b0af168c25,13,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_016.jpg,aphids,3024,4032,1217300,JPEG,9992f4b5ae368c25,14,none,train
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_017.jpg,aphids,3024,4032,1230553,JPEG,98b3f6b1ad528c25,15,none,test
