architecture,class,precision,recall_sensitivity,specificity,f1,roc_auc
citrusnet,aphids,1.0,1.0,1.0,1.0,1.0
resnet50,aphids,1.0,1.0,1.0,1.0,1.0
efficientnet_b0,aphids,0.7894736842105263,1.0,0.9111111111111111,0.8823529411764706,0.9807407407407407
densenet121,aphids,1.0,1.0,1.0,1.0,1.0
citrusnet,gummosis,0.9830508474576272,0.8923076923076924,0.9942857142857143,0.9354838709677419,0.9992967032967033
resnet50,gummosis,1.0,1.0,1.0,1.0,1.0
efficientnet_b0,gummosis,0.9838709677419355,0.9384615384615385,0.9942857142857143,0.9606299212598425,0.9962197802197803
densenet121,gummosis,0.984375,0.9692307692307692,0.9942857142857143,0.9767441860465116,0.9993846153846154
citrusnet,healthy,0.9107142857142857,1.0,0.9735449735449735,0.9532710280373832,1.0
resnet50,healthy,0.9807692307692307,1.0,0.9947089947089947,0.9902912621359223,1.0
efficientnet_b0,healthy,1.0,1.0,1.0,1.0,1.0
densenet121,healthy,1.0,1.0,1.0,1.0,1.0
citrusnet,leaf_minnor,0.9692307692307692,0.984375,0.9886363636363636,0.9767441860465116,0.9892578125
resnet50,leaf_minnor,1.0,0.984375,1.0,0.9921259842519685,1.0
efficientnet_b0,leaf_minnor,1.0,0.796875,1.0,0.8869565217391304,0.9806463068181819
densenet121,leaf_minnor,0.9692307692307692,0.984375,0.9886363636363636,0.9767441860465116,0.9988458806818182
