filepath,class_label,is_duplicate_of
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_054.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_053.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_156.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_155.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_157.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_155.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_168.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_167.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_227.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_226.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_246.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_245.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_386.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_384.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_387.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_384.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_399.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_398.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_415.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_414.jpg
C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_416.jpg,aphids,C:\workstation\3RD YEAR\citrus_fruit\Citrus-Diseases\aphids\aphids_401.jpg
